Block_APO,lat,lng
2001,46.21089,6.14701
2002,46.20773,6.12227
2003,46.22116,6.13916
2004,46.20639,6.16222
2005,46.20257,6.14556
2006,46.19593,6.14059
2007,46.18953,6.15737
2008,46.19817,6.16756
2009,46.2462,6.22894
2010,46.19868,6.18971
2011,46.1764,6.17376
2012,46.18452,6.13839
2013,46.18963,6.10826
2014,46.16143,6.11974
2015,46.17142,6.0406
2016,46.21485,6.04016
2018,46.27454,6.14588
2019,46.49112,6.63494
2020,46.48803,6.60701
2021,46.56322,6.68574
2022,46.52893,6.61781
2023,46.52169,6.64303
2024,46.53808,6.62816
2025,46.53289,6.65588
2026,46.39021,6.15999
2027,46.38042,6.23521
2028,46.41266,6.24953
2029,46.5015,6.33788
2031,46.4951,6.50574
2032,46.53062,6.5381
2033,46.49572,6.56327
2034,46.53527,6.58954
2035,46.55703,6.60568
2036,46.61698,6.45951
2037,46.6495,6.34006
2038,46.82508,6.59321
2039,46.7871,6.66441
2040,46.71957,6.61658
2041,46.82626,6.88263
2042,46.83243,6.94517
2043,46.63144,6.65609
2044,46.58964,6.78115
2045,46.50699,6.68163
2046,46.48825,6.65574
2047,46.48047,6.79716
2048,46.44949,6.83717
2049,46.46142,6.92161
2050,46.43131,6.94221
2051,46.41224,7.08828
2052,46.28057,7.05839
2054,46.21874,6.91364
2055,46.23911,6.89789
2056,46.10954,7.07303
2057,45.99671,7.19173
2058,46.14292,7.27418
2059,46.19381,7.16644
2060,46.28574,7.2916
2061,46.22719,7.35445
2062,46.12406,7.51727
2063,46.32595,7.4646
2065,46.28455,7.54258
2066,46.26721,7.80824
2067,46.05435,7.77616
2069,46.23923,8.0361
2070,46.45045,8.16617
2071,46.98845,6.94129
2072,46.94042,6.80045
2073,46.91418,6.57305
2074,47.01394,6.68829
2075,47.11284,6.82534
2076,47.05067,6.90955
2077,47.05067,7.0249
2078,47.31421,7.12067
2079,47.43197,7.03654
2080,47.35669,7.41338
2081,46.58673,6.9213
2082,46.60831,7.1317
2084,46.70926,6.99247
2085,46.77139,7.13862
2086,46.80601,7.16461
2087,46.82338,7.05165
2088,46.78396,7.25841
2089,46.93613,7.16389
2090,45.82894,9.01681
2091,45.88383,9.03991
2092,45.86443,8.99626
2093,45.89675,8.96653
2095,45.95947,8.9567
2096,46.01277,8.99007
2097,45.99994,8.9541
2098,45.98717,8.92091
2099,46.00108,8.85391
2100,46.04356,8.89396
2101,46.0785,9.01249
2102,46.10324,8.95759
2103,46.13861,8.93677
2104,46.1379,8.71222
2105,46.14778,8.77222
2106,46.1718,8.79048
2107,46.31351,8.61338
2108,46.27112,8.84002
2109,46.20005,9.02267
2110,46.32989,9.13137
2111,46.36634,9.02269
2112,46.48568,8.8153
2113,46.94762,7.44594
2114,46.9392,7.44166
2115,46.94547,7.47239
2116,46.96644,7.45446
2117,46.95384,7.42206
2118,46.93986,7.3605
2119,46.91777,7.42942
2120,46.79087,7.4448
2121,46.75543,7.6235
2122,46.52772,7.5101
2123,46.6546,8.08728
2124,46.80624,7.74458
2125,46.88322,7.59399
2126,46.95052,7.73561
2127,46.97412,7.52855
2128,47.00615,7.48599
2129,47.07537,7.54758
2130,47.12644,7.73855
2131,47.22919,7.79694
2132,47.01222,7.32711
2133,47.0469,7.17131
2134,47.15331,7.36252
2135,47.12942,7.20704
2136,47.2506,7.30888
2137,47.15689,7.06838
2138,47.14683,7.47883
2139,47.20926,7.52253
2140,47.34552,7.66206
2141,47.36998,7.94349
2142,47.55413,7.58648
2143,47.56935,7.57524
2144,47.56295,7.56641
2145,47.5498,7.56976
2146,47.53561,7.59526
2147,47.54579,7.60967
2148,47.56638,7.61136
2149,47.5765,7.59422
2150,47.57785,7.65473
2151,47.5436,7.53323
2152,47.52018,7.55231
2153,47.44342,7.49614
2154,47.50305,7.61191
2155,47.51889,7.69626
2156,47.4336,7.80444
2157,47.3889,8.04862
2158,47.36688,8.06343
2159,47.28565,7.89033
