Block_APO,territory,sales_rep,plz_count,pharmacies,visited_pharmacies,top_pharmacies,total_visits,total_sales
2001,GE-JU-NE,Florence,1,19,16,2,64,161666.88000000018
2002,GE-JU-NE,Florence,1,11,9,1,36,67361.16000000008
2003,GE-JU-NE,Florence,2,14,14,3,56,132473.79
2004,GE-JU-NE,Florence,1,12,10,2,40,82797.34
2005,GE-JU-NE,Florence,1,8,5,2,20,70557.13999999998
2006,GE-JU-NE,Florence,1,18,10,1,40,127386.63000000002
2007,GE-JU-NE,Florence,1,10,7,1,28,62183.260000000024
2008,GE-JU-NE,Florence,1,5,3,0,12,16517.03
2009,GE-JU-NE,Florence,4,6,3,1,12,52892.40000000001
2010,GE-JU-NE,Florence,2,9,8,0,32,56199.41
2011,GE-JU-NE,Florence,2,6,5,1,20,39383.900000000016
2012,GE-JU-NE,Florence,1,13,8,1,32,72735.14000000001
2013,GE-JU-NE,Florence,1,11,8,3,32,85632.79
2014,GE-JU-NE,Florence,2,9,8,3,32,75357.07
2015,GE-JU-NE,Florence,3,9,7,0,28,48417.71000000001
2016,GE-JU-NE,Florence,4,11,9,2,36,102492.76000000004
2018,GE-JU-NE,Florence,4,10,10,4,40,108962.70000000001
2019,VD-VS-FR,Eléonore,1,6,3,1,12,53543.93000000001
2020,VD-VS-FR,Eléonore,1,6,5,0,20,38881.200000000004
2021,VD-VS-FR,Eléonore,2,20,15,4,60,169131.97000000006
2022,VD-VS-FR,Eléonore,1,6,4,1,16,43107.11000000001
2023,VD-VS-FR,Eléonore,2,5,1,0,4,10471.190000000002
2024,VD-VS-FR,Eléonore,1,8,5,0,20,34838.88
2025,VD-VS-FR,Eléonore,2,6,3,2,12,52432.88000000005
2026,GE-JU-NE,Florence,6,6,3,2,12,55243.75000000005
2027,GE-JU-NE,Florence,1,12,11,0,44,67404.06
2028,GE-JU-NE,Florence,4,7,6,0,24,55020.05000000002
2029,VD-VS-FR,Eléonore,8,10,10,2,41,98909.16000000002
2031,VD-VS-FR,Eléonore,1,9,8,2,33,97055.22000000006
2032,VD-VS-FR,Eléonore,4,7,6,3,24,87436.89000000003
2033,VD-VS-FR,Eléonore,3,6,5,1,20,42326.180000000015
2034,VD-VS-FR,Eléonore,1,7,6,1,24,47175.81000000001
2035,VD-VS-FR,Eléonore,2,9,6,3,24,76798.73000000004
2036,VD-VS-FR,Eléonore,3,4,4,2,17,46247.86
2037,GE-JU-NE,Florence,3,6,4,0,16,29134.04
2038,GE-JU-NE,Florence,3,5,5,2,20,56576.10000000005
2039,GE-JU-NE,Florence,1,13,8,2,32,84853.17000000001
2040,GE-JU-NE,Florence,3,7,5,1,20,42458.68000000003
2041,GE-JU-NE,Florence,7,11,9,3,36,103799.50000000003
2042,GE-JU-NE,Florence,2,8,7,0,28,33554.41
2043,VD-VS-FR,Eléonore,3,7,7,1,28,59384.060000000005
2044,VD-VS-FR,Eléonore,4,7,6,1,24,74965.73000000001
2045,VD-VS-FR,Eléonore,4,8,7,2,29,79385.44000000003
2046,VD-VS-FR,Eléonore,1,5,3,0,12,29948.68000000001
2047,VD-VS-FR,Eléonore,6,8,8,1,32,71797.15000000002
2048,VD-VS-FR,Eléonore,1,14,9,2,37,93827.21
2049,VD-VS-FR,Eléonore,3,6,4,1,16,41622.149999999994
2050,VD-VS-FR,Eléonore,1,9,4,0,16,42694.43000000001
2051,VD-VS-FR,Eléonore,4,7,6,1,24,50781.75000000001
2052,VD-VS-FR,Eléonore,5,11,9,2,36,87839.19000000003
2054,VD-VS-FR,Eléonore,7,11,9,1,36,67728.47000000002
2055,VD-VS-FR,Eléonore,1,7,4,2,16,52736.90000000002
2056,VD-VS-FR,Eléonore,1,12,7,0,28,78767.41
2057,VD-VS-FR,Eléonore,4,8,7,0,28,43179.84
2058,VD-VS-FR,Eléonore,3,6,3,0,12,33011.45
2059,VD-VS-FR,Eléonore,5,8,4,0,12,31249.88000000001
2060,VD-VS-FR,Eléonore,4,13,9,2,36,79407.31000000001
2061,VD-VS-FR,Eléonore,1,17,10,3,40,109707.26000000008
2062,VD-VS-FR,Eléonore,6,7,3,0,12,29327.810000000005
