Block_APO,Sales_Rep,CVM_clean,count
2031,Eléonore,Build,1
2036,Eléonore,Build,1
2048,Eléonore,Defend,1
2161,Luis,Build,1
2161,Michaela,Build,1
2162,Luis,Build,2
2163,Luis,Build,1
2164,Luis,Build,1
2165,Luis,Build,2
2166,Luis,Build,3
2167,Luis,Build,1
2168,Luis,Build,2
2171,Luis,Build,1
2172,Luis,Build,2
2173,Luis,Build,1
2173,Michaela,Build,1
2183,Luis,Build,1
2184,Luis,Build,2
2186,Sarina,Build,1
2186,Sarina,Defend,1
2188,Luis,Build,1
2190,Luis,Build,1
2198,Luis,Build,2
2200,Luis,Build,2
2202,Luis,Build,1
2203,Luis,Build,4
2205,Luis,Build,1
2208,Luis,Build,1
2209,Luis,Build,1
2210,Sarina,Defend,1
2212,Luis,Build,1
2214,Luis,Build,1
2217,Luis,Build,1
