Block_APO,Sales_Rep,CVM_clean,count
2001,Florence,Build,8
2001,Florence,Gain,2
2001,Florence,Maintain,6
2002,Florence,Build,5
2002,Florence,Gain,1
2002,Florence,Maintain,3
2003,Florence,Build,4
2003,Florence,Gain,2
2003,Florence,Maintain,8
2004,Florence,Build,4
2004,Florence,Gain,2
2004,Florence,Maintain,4
2005,Florence,Build,3
2005,Florence,Maintain,2
2006,Florence,Build,4
2006,Florence,Defend,1
2006,Florence,Maintain,5
2007,Florence,Build,1
2007,Florence,Gain,1
2007,Florence,Maintain,5
2008,Florence,Build,1
2008,Florence,Maintain,2
2009,Florence,Build,3
2010,Florence,Build,3
2010,Florence,Maintain,5
2011,Florence,Build,2
2011,Florence,Gain,1
2011,Florence,Maintain,2
2012,Florence,Build,3
2012,Florence,Gain,2
2012,Florence,Maintain,3
2013,Florence,Build,6
2013,Florence,Maintain,2
2014,Florence,Build,6
2014,Florence,Gain,2
2015,Florence,Build,3
2015,Florence,Gain,3
2015,Florence,Maintain,1
2016,Florence,Build,7
2016,Florence,Maintain,2
2018,Florence,Build,6
2018,Florence,Gain,1
2018,Florence,Maintain,3
2019,Eléonore,Build,1
2019,Eléonore,Defend,1
2019,Eléonore,Maintain,1
2020,Eléonore,Build,3
2020,Eléonore,Maintain,2
2021,Eléonore,Build,7
2021,Eléonore,Defend,1
2021,Eléonore,Gain,3
2021,Eléonore,Maintain,4
2022,Eléonore,Gain,1
2022,Eléonore,Maintain,3
2023,Eléonore,Build,1
2024,Eléonore,Gain,1
2024,Eléonore,Maintain,4
2025,Eléonore,Build,2
2025,Eléonore,Gain,1
2026,Florence,Build,2
2026,Florence,Gain,1
2027,Florence,Build,5
2027,Florence,Gain,2
2027,Florence,Maintain,4
2028,Florence,Build,3
2028,Florence,Gain,1
2028,Florence,Maintain,2
2029,Eléonore,Build,6
2029,Eléonore,Maintain,3
2031,Eléonore,Build,4
2031,Eléonore,Maintain,3
2032,Eléonore,Build,2
2032,Eléonore,Defend,1
2032,Eléonore,Maintain,3
2033,Eléonore,Build,3
2033,Eléonore,Gain,1
2033,Eléonore,Maintain,1
2034,Eléonore,Build,2
2034,Eléonore,Maintain,4
2035,Eléonore,Build,1
2035,Eléonore,Defend,1
2035,Eléonore,Gain,3
2035,Eléonore,Maintain,1
2036,Eléonore,Build,1
2036,Eléonore,Maintain,2
2037,Florence,Gain,1
2037,Florence,Maintain,3
2038,Florence,Build,2
2038,Florence,Maintain,3
2039,Florence,Build,2
2039,Florence,Defend,3
2039,Florence,Gain,1
2039,Florence,Maintain,2
2040,Florence,Build,3
2040,Florence,Maintain,2
2041,Florence,Build,2
2041,Florence,Gain,1
2041,Florence,Maintain,6
2042,Florence,Build,1
2042,Florence,Gain,1
2042,Florence,Maintain,5
2043,Eléonore,Build,3
2043,Eléonore,Maintain,4
2044,Eléonore,Build,5
2044,Eléonore,Gain,1
2045,Eléonore,Build,3
2045,Eléonore,Maintain,3
2046,Eléonore,Build,2
2046,Eléonore,Maintain,1
2047,Eléonore,Build,3
2047,Eléonore,Gain,1
2047,Eléonore,Maintain,4
2048,Eléonore,Build,4
2048,Eléonore,Maintain,4
2049,Eléonore,Build,3
2049,Eléonore,Maintain,1
2050,Eléonore,Build,2
2050,Eléonore,Gain,1
2050,Eléonore,Maintain,1
2051,Eléonore,Build,2
2051,Eléonore,Maintain,4
2052,Eléonore,Build,2
2052,Eléonore,Maintain,7
2054,Eléonore,Build,2
2054,Eléonore,Maintain,7
2055,Eléonore,Build,2
2055,Eléonore,Maintain,2
2056,Eléonore,Build,4
2056,Eléonore,Maintain,3
2057,Eléonore,Maintain,7
2058,Eléonore,Maintain,3
2059,Eléonore,Maintain,2
2060,Eléonore,Build,4
2060,Eléonore,Defend,1
2060,Eléonore,Gain,2
2060,Eléonore,Maintain,2
2061,Eléonore,Build,3
2061,Eléonore,Defend,2
2061,Eléonore,Gain,1
2061,Eléonore,Maintain,4
2062,Eléonore,Maintain,3
2063,Eléonore,Build,1
2063,Eléonore,Gain,1
2063,Eléonore,Maintain,6
2065,Eléonore,Build,4
2065,Eléonore,Maintain,3
2066,Eléonore,Build,1
2066,Eléonore,Defend,3
2066,Eléonore,Maintain,4
2067,Eléonore,Build,1
2067,Eléonore,Defend,2
2067,Eléonore,Maintain,2
2069,Eléonore,Build,1
2069,Eléonore,Defend,1
2069,Eléonore,Maintain,5
2070,Eléonore,Build,1
2070,Eléonore,Maintain,2
2071,Florence,Build,3
2071,Florence,Gain,6
2071,Florence,Maintain,4
2072,Florence,Build,3
2072,Florence,Maintain,3
2073,Florence,Maintain,5
2074,Florence,Defend,1
2074,Florence,Maintain,2
2075,Florence,Build,5
2075,Florence,Maintain,5
2076,Florence,Build,1
2076,Florence,Gain,1
2076,Florence,Maintain,5
2077,Florence,Build,4
2077,Florence,Defend,1
2077,Florence,Maintain,1
2078,Florence,Build,3
2078,Florence,Defend,1
2078,Florence,Maintain,2
2079,Florence,Build,2
2079,Florence,Gain,1
2079,Florence,Maintain,3
2080,Florence,Build,3
2080,Florence,Gain,1
2080,Florence,Maintain,5
2081,Eléonore,Build,6
2081,Eléonore,Maintain,11
2082,Eléonore,Build,1
2082,Eléonore,Gain,1
2082,Eléonore,Maintain,4
2084,Eléonore,Build,2
2084,Eléonore,Defend,1
2084,Eléonore,Maintain,4
2085,Eléonore,Build,2
2085,Eléonore,Gain,1
2085,Eléonore,Maintain,5
2086,Eléonore,Build,4
2086,Eléonore,Defend,2
2086,Eléonore,Gain,1
2086,Eléonore,Maintain,6
2087,Eléonore,Build,2
2087,Eléonore,Defend,1
2087,Eléonore,Maintain,8
2088,Florence,Build,3
2088,Florence,Maintain,2
2089,Florence,Build,1
2089,Florence,Defend,1
2089,Florence,Maintain,4
2090,Alessia,Maintain,1
2091,Alessia,Build,2
2091,Alessia,Maintain,1
2092,Alessia,Maintain,1
2093,Alessia,Build,3
2095,Alessia,Build,1
2095,Alessia,Maintain,3
2096,Alessia,Build,4
2096,Alessia,Maintain,1
2097,Alessia,Build,3
2097,Alessia,Defend,2
2097,Alessia,Gain,3
2097,Alessia,Maintain,6
2098,Alessia,Maintain,1
2099,Alessia,Build,3
2099,Alessia,Maintain,2
2100,Alessia,Build,2
2100,Alessia,Gain,1
2100,Alessia,Maintain,1
2101,Alessia,Build,2
2102,Alessia,Maintain,3
2103,Alessia,Build,3
2103,Alessia,Maintain,1
2104,Alessia,Build,1
2104,Alessia,Defend,1
2105,Alessia,Maintain,1
2106,Alessia,Build,3
2106,Alessia,Gain,1
2106,Alessia,Maintain,4
2107,Alessia,Build,1
2107,Alessia,Maintain,1
2108,Alessia,Build,4
2108,Alessia,Maintain,7
2109,Alessia,Build,1
2109,Alessia,Defend,1
2109,Alessia,Gain,1
2109,Alessia,Maintain,5
2110,Alessia,Build,2
2110,Alessia,Maintain,3
2111,Alessia,Maintain,2
2112,Alessia,Build,3
2112,Alessia,Maintain,1
2113,Michaela,Build,7
2113,Michaela,Defend,3
2113,Michaela,Maintain,5
2114,Michaela,Gain,1
2114,Michaela,Maintain,1
2115,Michaela,Gain,3
2116,Michaela,Build,1
2116,Michaela,Defend,1
2116,Michaela,Gain,1
2116,Michaela,Maintain,2
2117,Michaela,Build,2
2117,Michaela,Defend,1
2117,Michaela,Maintain,2
2118,Michaela,Build,1
2118,Michaela,Defend,1
2118,Michaela,Gain,2
2119,Michaela,Build,2
2119,Michaela,Defend,1
2119,Michaela,Gain,1
2119,Michaela,Maintain,3
2120,Florence,Gain,1
2120,Michaela,Build,7
2120,Michaela,Defend,1
2120,Michaela,Maintain,4
2121,Michaela,Build,4
2121,Michaela,Maintain,1
2122,Florence,Build,4
2122,Florence,Defend,1
2122,Florence,Gain,1
2122,Florence,Maintain,4
2123,Florence,Build,4
2123,Florence,Defend,1
2123,Florence,Maintain,3
2124,Michaela,Build,2
2124,Michaela,Defend,1
2124,Michaela,Maintain,1
2125,Michaela,Build,2
2125,Michaela,Maintain,2
2126,Michaela,Build,3
2126,Michaela,Maintain,4
2127,Michaela,Build,4
2127,Michaela,Gain,1
