Block_APO,Sales_Rep,pharmacies,visited_pharmacies,top_pharmacies,total_visits,total_sales
2001,Florence,19,16,2,64,161666.88000000018
2002,Florence,11,9,1,36,67361.16000000008
2003,Florence,14,14,3,56,132473.79
2004,Florence,12,10,2,40,82797.34
2005,Florence,8,5,2,20,70557.13999999998
2006,Florence,18,10,1,40,127386.63000000002
2007,Florence,10,7,1,28,62183.260000000024
2008,Florence,5,3,0,12,16517.03
2009,Florence,6,3,1,12,52892.40000000001
2010,Florence,9,8,0,32,56199.41
2011,Florence,6,5,1,20,39383.900000000016
2012,Florence,13,8,1,32,72735.14000000001
2013,Florence,11,8,3,32,85632.79
2014,Florence,9,8,3,32,75357.07
2015,Florence,9,7,0,28,48417.71000000001
2016,Florence,11,9,2,36,102492.76000000004
2018,Florence,10,10,4,40,108962.70000000001
2019,Eléonore,6,3,1,12,53543.93000000001
2020,Eléonore,6,5,0,20,38881.200000000004
2021,Eléonore,20,15,4,60,169131.97000000006
2022,Eléonore,6,4,1,16,43107.11000000001
2023,Eléonore,5,1,0,4,10471.190000000002
2024,Eléonore,8,5,0,20,34838.88
2025,Eléonore,6,3,2,12,52432.88000000005
2026,Florence,6,3,2,12,55243.75000000005
2027,Florence,12,11,0,44,67404.06
2028,Florence,7,6,0,24,55020.05000000002
2029,Eléonore,10,10,2,41,98909.16000000002
2031,Eléonore,9,8,2,33,97055.22000000006
2032,Eléonore,7,6,3,24,87436.89000000003
2033,Eléonore,6,5,1,20,42326.180000000015
2034,Eléonore,7,6,1,24,47175.81000000001
2035,Eléonore,9,6,3,24,76798.73000000004
2036,Eléonore,4,4,2,17,46247.86
2037,Florence,6,4,0,16,29134.04
2038,Florence,5,5,2,20,56576.10000000005
2039,Florence,13,8,2,32,84853.17000000001
2040,Florence,7,5,1,20,42458.68000000003
2041,Florence,11,9,3,36,103799.50000000003
2042,Florence,8,7,0,28,33554.41
2043,Eléonore,7,7,1,28,59384.060000000005
2044,Eléonore,7,6,1,24,74965.73000000001
2045,Eléonore,8,7,2,29,79385.44000000003
2046,Eléonore,5,3,0,12,29948.68000000001
2047,Eléonore,8,8,1,32,71797.15000000002
2048,Eléonore,14,9,2,37,93827.21
2049,Eléonore,6,4,1,16,41622.149999999994
2050,Eléonore,9,4,0,16,42694.43000000001
2051,Eléonore,7,6,1,24,50781.75000000001
2052,Eléonore,11,9,2,36,87839.19000000003
2054,Eléonore,11,9,1,36,67728.47000000002
2055,Eléonore,7,4,2,16,52736.90000000002
2056,Eléonore,12,7,0,28,78767.41
2057,Eléonore,8,7,0,28,43179.84
2058,Eléonore,6,3,0,12,33011.45
2059,Eléonore,8,4,0,12,31249.88000000001
2060,Eléonore,13,9,2,36,79407.31000000001
2061,Eléonore,17,10,3,40,109707.26000000008
2062,Eléonore,7,3,0,12,29327.810000000005
2063,Eléonore,9,8,0,32,60740.72
2065,Eléonore,11,7,2,28,69016.67000000004
2066,Eléonore,10,8,4,32,123043.25000000004
2067,Eléonore,6,5,2,20,61129.40000000001
2069,Eléonore,7,7,2,28,84935.65000000002
2070,Eléonore,4,3,2,12,39335.700000000004
2071,Florence,17,13,1,52,116005.43000000004
2072,Florence,6,6,1,24,54710.17000000001
2073,Florence,6,5,0,20,33607.54
2074,Florence,4,3,0,12,23468.730000000007
2075,Florence,11,10,0,40,86684.71
2076,Florence,7,7,2,28,60614.600000000006
2077,Florence,7,6,1,24,64131.44000000009
2078,Florence,8,6,1,24,55852.44000000001
2079,Florence,6,6,0,24,29509.500000000025
2080,Florence,13,9,1,36,55067.380000000005
2081,Eléonore,20,17,3,68,152430.14000000004
2082,Eléonore,6,6,2,24,67315.18
2084,Eléonore,8,7,2,28,58088.020000000004
2085,Eléonore,8,8,3,32,74701.28000000001
2086,Eléonore,15,13,4,52,160408.33000000007
2087,Eléonore,12,11,1,44,110752.95000000007
2088,Florence,12,5,1,20,98947.6
2089,Florence,8,6,2,24,75908.45000000004
2090,Alessia,9,1,0,4,22786.589999999997
2091,Alessia,6,3,0,12,31520.020000000015
2092,Alessia,5,1,0,4,16618.489999999998
2093,Alessia,19,3,0,12,71139.96
2095,Alessia,5,4,0,16,31395.51
2096,Alessia,10,5,0,20,54170.30000000001
2097,Alessia,42,14,2,56,192203.13999999998
2098,Alessia,6,1,0,4,26478.860000000008
2099,Alessia,10,5,1,20,51382.47
2100,Alessia,7,4,0,16,48336.86
2101,Alessia,5,2,1,8,41338.26999999998
2102,Alessia,6,3,0,12,35366.52000000001
2103,Alessia,8,4,1,16,44859.109999999986
2104,Alessia,4,2,1,8,37310.760000000024
2105,Alessia,3,1,0,4,19615.890000000003
2106,Alessia,17,8,0,32,87717.19
2107,Alessia,6,2,0,8,32557.509999999995
2108,Alessia,13,11,2,44,120489.44000000002
2109,Alessia,15,8,0,32,83695.19000000003
2110,Alessia,9,5,1,20,59886.75
2111,Alessia,5,2,0,8,20730.300000000003
2112,Alessia,6,4,0,16,29549.04
2113,Michaela,18,15,6,60,247734.44999999984
2114,Michaela,5,2,0,8,27343.879999999997
2115,Michaela,4,3,0,12,31213.480000000003
2116,Michaela,6,5,2,20,56299.7
2117,Michaela,7,5,1,20,68314.58000000002
2118,Michaela,9,4,2,16,100353.21
