Block_APO,Sales_Rep,CVM_clean,count
2001,Florence,Build,2
2002,Florence,Build,1
2003,Florence,Build,3
2004,Florence,Build,1
2004,Florence,Maintain,1
2005,Florence,Build,2
2006,Florence,Defend,1
2007,Florence,Build,1
2009,Florence,Build,1
2011,Florence,Build,1
2012,Florence,Gain,1
2013,Florence,Build,3
2014,Florence,Build,3
2016,Florence,Build,2
2018,Florence,Build,4
2019,Eléonore,Defend,1
2021,Eléonore,Build,3
2021,Eléonore,Maintain,1
2022,Eléonore,Maintain,1
2025,Eléonore,Build,1
2025,Eléonore,Gain,1
2026,Florence,Build,2
2029,Eléonore,Build,2
2031,Eléonore,Build,1
2032,Eléonore,Build,2
2032,Eléonore,Defend,1
2033,Eléonore,Build,1
2034,Eléonore,Build,1
2035,Eléonore,Build,1
2035,Eléonore,Defend,1
2035,Eléonore,Maintain,1
2036,Eléonore,Build,1
2038,Florence,Build,1
2038,Florence,Maintain,1
2039,Florence,Defend,2
2040,Florence,Build,1
2041,Florence,Build,1
2041,Florence,Maintain,2
2043,Eléonore,Build,1
2044,Eléonore,Build,1
2045,Eléonore,Build,2
2047,Eléonore,Build,1
2048,Eléonore,Build,1
2049,Eléonore,Build,1
2051,Eléonore,Build,1
2052,Eléonore,Build,1
2052,Eléonore,Maintain,1
2054,Eléonore,Build,1
2055,Eléonore,Build,2
2060,Eléonore,Build,1
2060,Eléonore,Defend,1
2061,Eléonore,Build,1
2061,Eléonore,Defend,2
2065,Eléonore,Build,2
2066,Eléonore,Build,1
2066,Eléonore,Defend,3
2067,Eléonore,Defend,2
2069,Eléonore,Build,1
2069,Eléonore,Defend,1
2070,Eléonore,Build,1
2070,Eléonore,Maintain,1
2071,Florence,Gain,1
2072,Florence,Build,1
2076,Florence,Build,1
2076,Florence,Gain,1
2077,Florence,Defend,1
2078,Florence,Maintain,1
2080,Florence,Build,1
2081,Eléonore,Build,3
2082,Eléonore,Build,1
2082,Eléonore,Gain,1
2084,Eléonore,Build,1
2084,Eléonore,Defend,1
2085,Eléonore,Build,1
2085,Eléonore,Maintain,2
2086,Eléonore,Build,1
2086,Eléonore,Defend,2
2086,Eléonore,Maintain,1
2087,Eléonore,Defend,1
2088,Florence,Build,1
2089,Florence,Build,1
2089,Florence,Defend,1
2097,Alessia,Defend,1
2097,Alessia,Maintain,1
2099,Alessia,Maintain,1
2101,Alessia,Build,1
2103,Alessia,Build,1
2104,Alessia,Defend,1
2108,Alessia,Build,1
2110,Alessia,Build,1
2113,Michaela,Build,2
2113,Michaela,Defend,3
2113,Michaela,Maintain,1
2116,Michaela,Build,1
2116,Michaela,Defend,1
2117,Michaela,Build,1
2118,Michaela,Defend,1
2118,Michaela,Gain,1
2119,Michaela,Defend,1
2120,Michaela,Build,4
2120,Michaela,Defend,1
2121,Michaela,Build,3
2122,Florence,Build,1
2123,Florence,Build,3
2123,Florence,Maintain,1
2124,Michaela,Build,1
2124,Michaela,Defend,1
2125,Michaela,Build,1
2125,Michaela,Maintain,2
2126,Michaela,Build,1
2126,Michaela,Maintain,1
2127,Michaela,Build,3
2128,Michaela,Build,2
2128,Michaela,Defend,1
2129,Michaela,Build,1
2129,Michaela,Maintain,2
2130,Michaela,Build,1
2132,Florence,Build,1
2132,Florence,Defend,1
2132,Florence,Maintain,2
2133,Florence,Build,1
2133,Florence,Defend,1
2133,Florence,Maintain,1
2134,Florence,Defend,2
2134,Florence,Maintain,1
2135,Florence,Defend,1
2135,Florence,Maintain,1
2136,Florence,Build,1
2138,Michaela,Build,1
2138,Michaela,Maintain,2
2139,Michaela,Build,3
2139,Michaela,Defend,3
2140,Michaela,Build,1
2140,Michaela,Defend,3
2141,Michaela,Build,1
2141,Michaela,Defend,1
2141,Michaela,Maintain,2
2142,Michaela,Defend,1
2142,Michaela,Maintain,2
2145,Michaela,Defend,1
2145,Michaela,Maintain,1
2146,Michaela,Defend,1
2146,Michaela,Maintain,1
2150,Michaela,Build,1
2151,Michaela,Build,1
2152,Michaela,Defend,1
2152,Michaela,Maintain,1
2153,Michaela,Build,2
2153,Michaela,Maintain,1
2154,Michaela,Build,1
2154,Michaela,Defend,1
2154,Michaela,Maintain,1
2155,Michaela,Build,2
2155,Michaela,Defend,2
2156,Michaela,Build,2
2156,Michaela,Defend,1
2156,Michaela,Maintain,2
2157,Michaela,Defend,1
2157,Michaela,Maintain,1
2158,Michaela,Maintain,2
2159,Michaela,Defend,3
2160,Michaela,Build,2
2160,Michaela,Maintain,1
2162,Luis,Maintain,2
2164,Luis,Defend,1
2165,Luis,Defend,1
2165,Luis,Maintain,1
2166,Luis,Defend,2
2167,Luis,Defend,1
2168,Luis,Defend,3
2170,Luis,Defend,2
2171,Luis,Maintain,1
2172,Luis,Gain,1
2172,Luis,Maintain,1
2173,Luis,Defend,1
2174,Luis,Build,2
2175,Michaela,Build,1
2177,Michaela,Build,3
2178,Michaela,Defend,1
2178,Michaela,Maintain,1
2179,Michaela,Build,2
2179,Michaela,Defend,3
2179,Michaela,Maintain,1
2180,Michaela,Build,2
2180,Michaela,Defend,4
2180,Michaela,Maintain,1
2181,Michaela,Build,2
2181,Michaela,Defend,1
2181,Michaela,Maintain,1
2182,Sarina,Build,3
2182,Sarina,Defend,1
2182,Sarina,Gain,2
2183,Luis,Defend,2
2184,Luis,Defend,3
2185,Sarina,Build,2
2185,Sarina,Defend,3
2186,Sarina,Build,2
2186,Sarina,Gain,1
2187,Luis,Defend,11
2187,Luis,Maintain,1
2188,Luis,Defend,3
2190,Luis,Defend,1
2190,Luis,Gain,1
2192,Luis,Defend,3
2192,Luis,Gain,1
2193,Luis,Defend,3
2193,Luis,Gain,1
2193,Luis,Maintain,2
2194,Luis,Defend,2
2195,Luis,Defend,2
2196,Luis,Defend,3
2196,Luis,Maintain,2
2197,Luis,Maintain,1
2200,Luis,Maintain,1
2201,Luis,Defend,2
2201,Luis,Maintain,2
2202,Luis,Defend,1
2202,Luis,Maintain,1
2203,Luis,Defend,1
2204,Luis,Defend,4
2204,Luis,Maintain,4
2205,Luis,Defend,4
2206,Luis,Defend,5
2207,Luis,Defend,1
2207,Luis,Maintain,2
2208,Luis,Defend,1
2209,Luis,Defend,4
2209,Luis,Maintain,2
2210,Sarina,Build,4
2210,Sarina,Defend,2
2210,Sarina,Gain,1
2211,Luis,Defend,3
2212,Luis,Defend,3
2212,Luis,Maintain,1
2213,Luis,Defend,4
2213,Luis,Maintain,1
2214,Luis,Defend,3
2215,Luis,Defend,3
2216,Luis,Defend,2
2216,Luis,Maintain,1
2217,Luis,Defend,1
2217,Luis,Maintain,2
2218,Luis,Defend,1
2220,Sarina,Defend,3
2220,Sarina,Gain,1
2221,Sarina,Defend,2
2223,Sarina,Build,1
2223,Sarina,Defend,1
2224,Sarina,Build,1
2224,Sarina,Defend,2
2224,Sarina,Gain,1
2225,Sarina,Build,2
2225,Sarina,Defend,2
2225,Sarina,Gain,1
2226,Sarina,Gain,1
2227,Sarina,Build,1
2227,Sarina,Defend,1
2227,Sarina,Gain,1
2228,Sarina,Build,1
2228,Sarina,Defend,1
2228,Sarina,Gain,1
2229,Sarina,Build,2
2229,Sarina,Defend,1
2230,Sarina,Build,2
2230,Sarina,Defend,1
2230,Sarina,Gain,1
2231,Sarina,Build,4
2231,Sarina,Defend,2
2231,Sarina,Gain,2
2231,Sarina,Maintain,1
2232,Sarina,Build,2
2232,Sarina,Defend,1
2232,Sarina,Gain,1
2233,Sarina,Build,2
2233,Sarina,Defend,1
2233,Sarina,Gain,2
2236,Sarina,Build,2
2236,Sarina,Defend,1
2237,Sarina,Build,2
2237,Sarina,Gain,1
2238,Sarina,Build,1
