EAN,Name,PLZ,Ort,Block_APO,Sales_Rep,CVM,Planned_Visits,Block_ADM,FY2025,Top_Priority,CVM_clean
7601001007246,Central-Apotheke Aarau AG,5000,Aarau,2157,Michaela,Build,4,Michaela,5900.029999999999,0,Build
7601001377899,Zentral Apotheke Heerbrugg AG,9435,Heerbrugg,2233,Sarina,Gain,4,Sarina,15318.110000000017,1,Gain
7601001025042,Neue Apotheke,5000,Aarau,2157,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001365414,Bahnhof Apotheke,5000,Aarau,2157,Michaela,Defend,4,Michaela,52289.51999999995,1,Defend
7601001379916,Medbase Apotheke Affoltern am Albis,8910,Affoltern am Albis,2203,Luis,Build,5,Luis,14217.910000000003,1,Build
7601001391710,Müller Handels AG Schweiz,5000,Aarau,2157,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001345911,CareLand AG,5000,Aarau,2157,Michaela,Build,4,Michaela,10972.849999999999,0,Build
7601001403840,Apotheke im Spital Aarau AG,5001,Aarau,2157,Michaela,Observe,0,Michaela,14640.660000000002,1,Observe
7601009107535,Reform-Drogerie Aarau,5000,Aarau,2157,Michaela,Observe,0,Michaela,337.4199999999999,0,Observe
7601001353268,Vitalis Apotheke Drogerie,8910,Affoltern am Albis,2203,Luis,Build,5,Luis,30526.970000000005,1,Build
7601001374089,Schön und Gesund AG,5000,Aarau,2157,Michaela,Observe,0,Michaela,2281.9900000000002,0,Observe
7601009374753,TopPharm Apotheke Göldlin AG,5000,Aarau,2157,Michaela,Build,4,Michaela,1882.1400000000003,0,Build
7601001254879,AB-Droguerie du Portail Sàrl,1530,Payerne,2042,Florence,Observe,0,Florence,0.0,0,Observe
7601001411555,Adelpharm AG,3715,Adelboden,2122,Florence,Maintain,4,Florence,7381.079999999999,0,Maintain
7601001396104,Apotheke Aarburg AG,4663,Aarburg,2159,Michaela,Maintain,4,Michaela,7298.2,0,Maintain
7601001028012,West-Apotheke,9000,St. Gallen,2227,Sarina,Observe,0,Sarina,5155.250000000003,0,Observe
7601001330160,Welldro AG Niederurnen,8867,Niederurnen,2231,Sarina,Defend,4,Sarina,21979.409999999996,1,Defend
7601009320088,Alpen-Drogerie Lenk GmbH,3775,Lenk im Simmental,2122,Florence,Maintain,4,Florence,611.31,0,Maintain
7601001368712,Amavita Apotheke Affoltern a. Albis,8910,Affoltern am Albis,2203,Luis,Build,5,Luis,17716.41000000001,1,Build
7601001402447,Amavita Apotheke Dr. Steiner,2502,Biel/Bienne,2135,Florence,Build,4,Florence,10176.160000000016,0,Build
7601001399716,Pill Apotheke Sihltal,8134,Adliswil,2203,Luis,Maintain,4,Luis,6317.190000000001,0,Maintain
7601001294950,TopPharm Apotheke Kunz,4147,Aesch,2153,Michaela,Build,4,Michaela,23879.93,1,Build
7601001410503,Medbase Apotheke Biel Bahnhof,2501,Biel/Bienne,2135,Florence,Build,4,Florence,12838.989999999998,0,Build
7601001375383,Amavita Apotheke Paradies,4123,Allschwil,2151,Michaela,Build,4,Michaela,18855.370000000028,1,Build
7601001010239,Apotheke Dr. Noyer AG,3011,Bern,2113,Michaela,Build,4,Michaela,14516.729999999996,1,Build
7601007784905,gesund-gekauft.ch AG,8910,Affoltern am Albis,2203,Luis,Observe,0,Luis,0.0,0,Observe
7601001379619,Farmacia Amavita Centro Breggia,6828,Balerna,2091,Alessia,Build,4,Alessia,8412.60000000001,0,Build
7601001380189,Farmacia Amavita Lugano,6900,Lugano,2097,Alessia,Build,4,Alessia,7906.220000000005,0,Build
7601001392113,Farmacia Amavita Lurà,6850,Mendrisio,2093,Alessia,Build,4,Alessia,6254.160000000004,0,Build
7601001369894,Sun Store Aigle,1860,Aigle,2052,Eléonore,Build,4,Eléonore,15571.250000000025,1,Build
7601001029088,Pharmacie du Centre,1860,Aigle,2052,Eléonore,Maintain,4,Eléonore,8113.749999999998,0,Maintain
7601001364912,pharmacieplus du rhône et du midi,1860,Aigle,2052,Eléonore,Build,4,Eléonore,6858.369999999998,0,Build
7601001397002,Amavita Apotheke & Drogerie Schneeberger,4144,Arlesheim,2154,Michaela,Build,4,Michaela,10065.900000000018,0,Build
7601001291386,Pharmacie de la Planchette,1860,Aigle,2052,Eléonore,Observe,0,Eléonore,4166.150000000001,0,Observe
7601001371200,Droguerie d'Aigle,1860,Aigle,2052,Eléonore,Observe,0,Eléonore,92.75,0,Observe
7601001403550,Farmacia Amavita Mordasini,6592,St. Antonino,2103,Alessia,Build,4,Alessia,13704.109999999988,1,Build
7601001366671,Sun Store Allaman,1165,Allaman,2029,Eléonore,Build,4,Eléonore,15153.009999999998,1,Build
7601001372924,Amavita Apotheke Kerzers,3210,Kerzers,2089,Florence,Build,4,Florence,17843.980000000032,1,Build
7601009113154,Dorfplatz-Apotheke Allschwil,4123,Allschwil,2151,Michaela,Observe,0,Michaela,4922.330000000002,0,Observe
7601009324437,Sciensus Apotheke AG,4123,Allschwil,2151,Michaela,Observe,0,Michaela,8.61,0,Observe
7601009106699,Lindenapotheke Bachgraben Allschwil,4123,Allschwil,2151,Michaela,Gain,4,Michaela,4032.2900000000013,0,Gain
7601001398535,Medbase Apotheke St. Gallen Am Vadianplatz,9001,St. Gallen,2227,Sarina,Build,4,Sarina,8940.410000000005,0,Build
